eventstart,eventend,name,type,subtype,subsubtype,description,source,scheduled,eventstart_CET,eventend_CET
"18.03.2002 01:00:00","NaT","FI PPI","Macro Release","FI","PPI","","Bloomberg",1,"18.03.2002 07:00:00","NaT"
"18.03.2002 09:45:00","NaT","PT Current Account Balance","Macro Release","PT","Current Account Balance","","Bloomberg",1,"18.03.2002 15:45:00","NaT"
"18.03.2002 11:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795JQ5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb31802.pdf",1,"18.03.2002 17:30:00","NaT"
"18.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795LB5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa31402.pdf",1,"18.03.2002 19:05:00","NaT"
"18.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795JZ5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa31402.pdf",1,"18.03.2002 19:05:00","NaT"
"19.03.2002 00:00:00","NaT","JP Cabinet Office Indices","Macro Release","JP","Cabinet Office Indices","","Bloomberg",1,"19.03.2002 06:00:00","NaT"
"19.03.2002 02:30:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","Belgian National Bank's Smets Speaks at Business Breakfast","Bloomberg",0,"19.03.2002 08:30:00","NaT"
"19.03.2002 03:00:00","NaT","Riksbank: Press Release","Central Bank","Riksbank","Press Release","Repo Rate Decision: 25bp hike to 4.0 percent","",1,"19.03.2002 09:00:00","NaT"
"19.03.2002 03:30:00","NaT","NL Unemployment Rate","Macro Release","NL","Unemployment Rate","","Bloomberg",1,"19.03.2002 09:30:00","NaT"
"19.03.2002 08:30:00","NaT","US Trade Balance","Macro Release","US","Trade Balance","","Bloomberg",1,"19.03.2002 14:30:00","NaT"
"19.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795JQ5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb31802.pdf",1,"19.03.2002 19:05:00","NaT"
"19.03.2002 14:15:00","NaT","Fed: Press Release","Central Bank","Fed","Press Release","FOMC Statement: Rates unchanged","https://www.federalreserve.gov/boarddocs/press/general/2002/20020319/",1,"19.03.2002 20:15:00","NaT"
"19.03.2002 18:45:00","NaT","JP Tertiary Industry Index","Macro Release","JP","Tertiary Industry Index","","Bloomberg",1,"20.03.2002 00:45:00","NaT"
"19.03.2002 23:35:00","NaT","BoJ: Press Release","Central Bank","BoJ","Press Release","BoJ: MP unchanged. The Bank of Japan will conduct money market operations, aiming at the outstanding balance of the current accounts at the Bank at around 10 to 15 trillion yen.","https://www.boj.or.jp/en/announcements/release_2002/k020320.htm/",1,"20.03.2002 05:35:00","NaT"
"20.03.2002 03:30:00","NaT","IT Consumer Confidence","Macro Release","IT","Consumer Confidence","","Bloomberg",1,"20.03.2002 09:30:00","NaT"
"20.03.2002 04:30:00","NaT","UK Monetary Aggregates","Macro Release","UK","Monetary Aggregates","","Bloomberg",1,"20.03.2002 10:30:00","NaT"
"20.03.2002 04:30:00","NaT","BoE: Minutes","Central Bank","BoE","Minutes","Minutes of MPC meeting on 6 and 7 March 2002","https://www.bankofengland.co.uk/-/media/boe/files/minutes/2002/minutes-march-2002.pdf?la=en&hash=F8D584997A36A0EA45B26560C9A03FC5101F4449",1,"20.03.2002 10:30:00","NaT"
"20.03.2002 08:30:00","NaT","US Building Permits & US Housing Starts","Macro Release","US","Building Permits & US Housing Starts","","Bloomberg",1,"20.03.2002 14:30:00","NaT"
"20.03.2002 14:30:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828AA8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofd32002.pdf",1,"20.03.2002 20:30:00","NaT"
"21.03.2002 02:15:00","NaT","CH Trade Balance","Macro Release","CH","Trade Balance","","Bloomberg",1,"21.03.2002 08:15:00","NaT"
"21.03.2002 08:00:00","NaT","SNB: Press Release","Central Bank","SNB","Press Release","Unchanged monetary policy - target range for the three-month Libor rate remains at 1.25%-2.25%","https://www.snb.ch/en/mmr/reference/pre_20020321/source/pre_20020321.en.pdf",1,"21.03.2002 14:00:00","NaT"
"21.03.2002 08:30:00","NaT","US CPI and Earnings Data","Macro Release","US","CPI and Earnings Data","","Bloomberg",1,"21.03.2002 14:30:00","NaT"
"21.03.2002 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"21.03.2002 14:30:00","NaT"
"21.03.2002 09:15:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Current challenges of community banks","https://www.federalreserve.gov/boarddocs/speeches/2002/20020321/default.htm",0,"21.03.2002 15:15:00","NaT"
"21.03.2002 10:00:00","NaT","US Leading Index","Macro Release","US","Leading Index","","Bloomberg",1,"21.03.2002 16:00:00","NaT"
"21.03.2002 14:00:00","NaT","Fed: Minutes","Central Bank","Fed","Minutes","FOMC Meeting Minutes","https://www.federalreserve.gov/fomc/minutes/20020130.htm",1,"21.03.2002 20:00:00","NaT"
"21.03.2002 14:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795LC3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa32102.pdf",1,"21.03.2002 20:30:00","NaT"
"21.03.2002 14:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795KA8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa32102.pdf",1,"21.03.2002 20:30:00","NaT"
"22.03.2002 00:00:00","NaT","BoJ: Monthly Report","Central Bank","BoJ","Monthly Report","Monthly Report of Recent Economic and Financial Developments: The Bank's View","https://www.boj.or.jp/en/mopo/gp_2002/gp0203.htm/",1,"22.03.2002 06:00:00","NaT"
"22.03.2002 02:45:00","NaT","FR CPI and Wages","Macro Release","FR","CPI and Wages","","Bloomberg",1,"22.03.2002 08:45:00","NaT"
"22.03.2002 04:00:00","NaT","DE CPI Hesse","Macro Release","DE","CPI Hesse","","Bloomberg",1,"22.03.2002 10:00:00","NaT"
"22.03.2002 04:00:00","NaT","NO Retail Sales","Macro Release","NO","Retail Sales","","Bloomberg",1,"22.03.2002 10:00:00","NaT"
"22.03.2002 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"22.03.2002 15:00:00","NaT"
"22.03.2002 10:45:00","NaT","DE Factory Orders","Macro Release","DE","Factory Orders","","Bloomberg",1,"22.03.2002 16:45:00","NaT"
"25.03.2002 02:00:00","NaT","DE PPI","Macro Release","DE","PPI","","Bloomberg",1,"25.03.2002 08:00:00","NaT"
"25.03.2002 03:00:00","NaT","IT Trade Balance Non-Eu (Euros)","Macro Release","IT","Trade Balance Non-Eu (Euros)","","Bloomberg",1,"25.03.2002 09:00:00","NaT"
"25.03.2002 04:00:00","NaT","SE Trade Balance","Macro Release","SE","Trade Balance","","Bloomberg",1,"25.03.2002 10:00:00","NaT"
"25.03.2002 10:00:00","NaT","US Existing Home Sales","Macro Release","US","Existing Home Sales","","Bloomberg",1,"25.03.2002 16:00:00","NaT"
"25.03.2002 11:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795JR3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb32502.pdf",1,"25.03.2002 17:30:00","NaT"
"25.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795LC3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa32102.pdf",1,"25.03.2002 19:05:00","NaT"
"25.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795KA8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa32102.pdf",1,"25.03.2002 19:05:00","NaT"
"25.03.2002 18:45:00","NaT","JP PPI Services","Macro Release","JP","PPI Services","","Bloomberg",1,"26.03.2002 00:45:00","NaT"
"26.03.2002 00:00:00","NaT","BoJ: Minutes","Central Bank","BoJ","Minutes","Minutes on February 7/8 Meeting","",1,"26.03.2002 06:00:00","NaT"
