eventstart,eventend,name,type,subtype,subsubtype,description,source,scheduled,eventstart_CET,eventend_CET
"08.06.2011 05:00:00","NaT","EA GDP Components","Macro Release","EA","GDP Components","","Bloomberg",1,"08.06.2011 11:00:00","NaT"
"08.06.2011 06:00:00","NaT","DE Industrial Production","Macro Release","DE","Industrial Production","","Bloomberg",1,"08.06.2011 12:00:00","NaT"
"08.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127957J4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110606_2.pdf",1,"08.06.2011 17:35:00","NaT"
"08.06.2011 12:20:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","A Troika report on Greece is leaked to journalists by German officials, it warns that deficit targets will be missed without further austerity and that the Greek recession will be longer and deeper than expected.","Bahaj (2019)",0,"08.06.2011 18:20:00","NaT"
"08.06.2011 13:05:00","NaT","US Auction Result Note","Auction","US Result","Note","CUSIP 912828QN3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110602_1.pdf",1,"08.06.2011 19:05:00","NaT"
"08.06.2011 14:00:00","NaT","Fed: Beige Book","Central Bank","Fed","Beige Book","Beige Book Release","",1,"08.06.2011 20:00:00","NaT"
"08.06.2011 19:45:00","NaT","JP Foreign Investment","Macro Release","JP","Foreign Investment","","Bloomberg",1,"09.06.2011 01:45:00","NaT"
"08.06.2011 19:45:00","NaT","JP GDP and Components","Macro Release","JP","GDP and Components","","Bloomberg",1,"09.06.2011 01:45:00","NaT"
"09.06.2011 02:00:00","NaT","JP Machine Tool Orders","Macro Release","JP","Machine Tool Orders","","Bloomberg",1,"09.06.2011 08:00:00","NaT"
"09.06.2011 03:00:00","NaT","DK Industrial Production and Orders","Macro Release","DK","Industrial Production and Orders","","Bloomberg",1,"09.06.2011 09:00:00","NaT"
"09.06.2011 03:00:00","NaT","DK Trade & Current Account Balance","Macro Release","DK","Trade & Current Account Balance","","Bloomberg",1,"09.06.2011 09:00:00","NaT"
"09.06.2011 03:30:00","NaT","NL Industrial Sales & NL Manufacturing Production","Macro Release","NL","Industrial Sales & NL Manufacturing Production","","Bloomberg",1,"09.06.2011 09:30:00","NaT"
"09.06.2011 03:30:00","NaT","SE Budget Balance","Macro Release","SE","Budget Balance","","Bloomberg",1,"09.06.2011 09:30:00","NaT"
"09.06.2011 05:00:00","NaT","GR CPI & GR CPI EU Harmonized","Macro Release","GR","CPI & GR CPI EU Harmonized","","Bloomberg",1,"09.06.2011 11:00:00","NaT"
"09.06.2011 05:15:00","NaT","GR GDP","Macro Release","GR","GDP","","Bloomberg",1,"09.06.2011 11:15:00","NaT"
"09.06.2011 07:00:00","NaT","BoE: Press Release","Central Bank","BoE","Press Release","MPD","",1,"09.06.2011 13:00:00","NaT"
"09.06.2011 07:45:00","NaT","ECB: Press Release","Central Bank","ECB","Press Release","GCM PR","",1,"09.06.2011 13:45:00","NaT"
"09.06.2011 08:20:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","The full version of the Troika report leaked the previous day is released.","Bahaj (2019)",0,"09.06.2011 14:20:00","NaT"
"09.06.2011 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"09.06.2011 14:30:00","NaT"
"09.06.2011 08:30:00","NaT","US Trade Balance","Macro Release","US","Trade Balance","","Bloomberg",1,"09.06.2011 14:30:00","NaT"
"09.06.2011 08:30:00","09.06.2011 09:38:00","ECB: Press Conference","Central Bank","ECB","Press Conference","GCM PC: three-month LTRO","",1,"09.06.2011 14:30:00","09.06.2011 15:38:00"
"09.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127952T7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110609_2.pdf",1,"09.06.2011 17:00:00","NaT"
"09.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127953K5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110609_1.pdf",1,"09.06.2011 17:00:00","NaT"
"09.06.2011 12:10:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Yellen Speech 2011 Federal Reserve Bank of Cleveland Policy Summit Cleveland Ohio Housing Market Developments and Their Effects on Low- and Moderate-Income Neighborhoods","https://www.federalreserve.gov/newsevents/speech/yellen20110609a.htm",0,"09.06.2011 18:10:00","NaT"
"09.06.2011 13:05:00","NaT","US Auction Result Bond","Auction","US Result","Bond","CUSIP 912810QQ4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110602_5.pdf",1,"09.06.2011 19:05:00","NaT"
"09.06.2011 13:35:00","09.06.2011 14:05:00","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Following the cabinet meeting granting approval, the Greek finance minister announces further details of the new medium term fiscal plans to the press.","Bahaj (2019)",0,"09.06.2011 19:35:00","09.06.2011 20:05:00"
"09.06.2011 19:45:00","NaT","JP Tertiary Industry Index","Macro Release","JP","Tertiary Industry Index","","Bloomberg",1,"10.06.2011 01:45:00","NaT"
"10.06.2011 02:00:00","NaT","FI Industrial Production","Macro Release","FI","Industrial Production","","Bloomberg",1,"10.06.2011 08:00:00","NaT"
"10.06.2011 02:00:00","NaT","FI Retail Sales & FI Retail Sales Volume","Macro Release","FI","Retail Sales & FI Retail Sales Volume","","Bloomberg",1,"10.06.2011 08:00:00","NaT"
"10.06.2011 02:45:00","NaT","FR Industrial Production & FR Manufacturing Production","Macro Release","FR","Industrial Production & FR Manufacturing Production","","Bloomberg",1,"10.06.2011 08:45:00","NaT"
"10.06.2011 03:45:00","NaT","FR Industrial Production & FR Manufacturing Production","Macro Release","FR","Industrial Production & FR Manufacturing Production","","Bloomberg",1,"10.06.2011 09:45:00","NaT"
"10.06.2011 04:30:00","NaT","UK Industrial Production & UK Manufacturing Production","Macro Release","UK","Industrial Production & UK Manufacturing Production","","Bloomberg",1,"10.06.2011 10:30:00","NaT"
"10.06.2011 04:30:00","NaT","UK Price Indices","Macro Release","UK","Price Indices","","Bloomberg",1,"10.06.2011 10:30:00","NaT"
"10.06.2011 05:00:00","NaT","IT Auction Result Bill","Auction","IT Result","Bill","","Bloomberg",1,"10.06.2011 11:00:00","NaT"
"10.06.2011 09:00:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","William Dudley: Remarks, Brooklyn Chamber of Commerce Brooklyn Borough Hall, Brooklyn, N.Y., The Road to Recovery: Brooklyn","https://www.stlouisfed.org/en/fomcspeak",0,"10.06.2011 15:00:00","NaT"
"12.06.2011 19:45:00","NaT","JP Machine Orders","Macro Release","JP","Machine Orders","","Bloomberg",1,"13.06.2011 01:45:00","NaT"
"12.06.2011 22:00:00","NaT","CN Monetetary Aggregates","Macro Release","CN","Monetetary Aggregates","","Bloomberg",1,"13.06.2011 04:00:00","NaT"
"13.06.2011 04:00:00","NaT","IT Industrial Production","Macro Release","IT","Industrial Production","","Bloomberg",1,"13.06.2011 10:00:00","NaT"
"13.06.2011 09:00:00","NaT","ECB: Speech by President","Central Bank","ECB","Speech by President","Trichet: The euro, its central bank  and economic governance","ECB/Bloomberg",0,"13.06.2011 15:00:00","NaT"
"13.06.2011 09:30:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Jeffrey Lacker: Speech, Southern Growth's 2011 Chairman's Conference, Roanoke, Va., Manufacturing in the New Southern Economy","https://www.stlouisfed.org/en/fomcspeak",0,"13.06.2011 15:30:00","NaT"
"13.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127952Z3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110613_1.pdf",1,"13.06.2011 17:00:00","NaT"
"13.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127952T7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110609_2.pdf",1,"13.06.2011 17:35:00","NaT"
"13.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127953K5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110609_1.pdf",1,"13.06.2011 17:35:00","NaT"
"13.06.2011 12:22:00","NaT","Ad Hoc: Sovereign Credit Ratings","Ad Hoc","Sovereign Credit Ratings","","S&P downgrades Greece to CCC from B with a negative outlook.","Bahaj (2019)",0,"13.06.2011 18:22:00","NaT"
"13.06.2011 21:00:00","NaT","JP Manpower Survey","Macro Release","JP","Manpower Survey","","Bloomberg",1,"14.06.2011 03:00:00","NaT"
"13.06.2011 22:00:00","NaT","CN CPI","Macro Release","CN","CPI","","Bloomberg",1,"14.06.2011 04:00:00","NaT"
"13.06.2011 22:00:00","NaT","CN GDP and Other Macro Aggregates","Macro Release","CN","GDP and Other Macro Aggregates","","Bloomberg",1,"14.06.2011 04:00:00","NaT"
"13.06.2011 23:42:00","NaT","BoJ: Press Release","Central Bank","BoJ","Press Release","MPM: The Bank of Japan will encourage the uncollateralized overnight call rate to remain at around 0.1 percent. Additional 500 billion yen in fund-provinding operations","",1,"14.06.2011 05:42:00","NaT"
"14.06.2011 00:30:00","NaT","JP Capacity Utilization & JP Industrial Production","Macro Release","JP","Capacity Utilization & JP Industrial Production","","Bloomberg",1,"14.06.2011 06:30:00","NaT"
"14.06.2011 01:00:00","NaT","CN Manpower Survey","Macro Release","CN","Manpower Survey","","Bloomberg",1,"14.06.2011 07:00:00","NaT"
"14.06.2011 02:00:00","NaT","FI CPI","Macro Release","FI","CPI","","Bloomberg",1,"14.06.2011 08:00:00","NaT"
"14.06.2011 04:30:00","NaT","UK Price Indices","Macro Release","UK","Price Indices","","Bloomberg",1,"14.06.2011 10:30:00","NaT"
"14.06.2011 04:30:00","NaT","ES Auction Result Bill","Auction","ES Result","Bill","","Bloomberg",1,"14.06.2011 10:30:00","NaT"
"14.06.2011 05:00:00","NaT","IT Auction Result Bond or Note","Auction","IT Result","Bond or Note","","Bloomberg",1,"14.06.2011 11:00:00","NaT"
"14.06.2011 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"14.06.2011 11:15:00","NaT"
"14.06.2011 08:30:00","NaT","US PPI","Macro Release","US","PPI","","Bloomberg",1,"14.06.2011 14:30:00","NaT"
"14.06.2011 08:30:00","NaT","US Retail Sales","Macro Release","US","Retail Sales","","Bloomberg",1,"14.06.2011 14:30:00","NaT"
"14.06.2011 09:00:00","NaT","FR Auction Result Bill","Auction","FR Result","Bill","","Bloomberg",1,"14.06.2011 15:00:00","NaT"
"14.06.2011 09:00:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","Draghi Speaks at Confirmation Hearing for Top ECB Post","Bloomberg",0,"14.06.2011 15:00:00","NaT"
"14.06.2011 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"14.06.2011 15:00:00","NaT"
"14.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127952Z3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110613_1.pdf",1,"14.06.2011 17:35:00","NaT"
"14.06.2011 14:30:00","NaT","Fed: Speech by Chair","Central Bank","Fed","Speech by Chair","Bernanke: ""Failing to raise the debt ceiling in a timely way would be self-defeating if the objective is to chart a course toward a better fiscal situation for our nation""",,0,"14.06.2011 20:30:00","NaT"
"14.06.2011 22:00:00","NaT","CN FDI","Macro Release","CN","FDI","","Bloomberg",1,"15.06.2011 04:00:00","NaT"
"15.06.2011 01:00:00","NaT","BoJ: Monthly Report","Central Bank","BoJ","Monthly Report","Monthly Report of Recent Economic and Financial Developments","",1,"15.06.2011 07:00:00","NaT"
"15.06.2011 01:30:00","NaT","FR CPI and Wages","Macro Release","FR","CPI and Wages","","Bloomberg",1,"15.06.2011 07:30:00","NaT"
"15.06.2011 02:00:00","NaT","JP Machine Tool Orders","Macro Release","JP","Machine Tool Orders","","Bloomberg",1,"15.06.2011 08:00:00","NaT"
"15.06.2011 03:00:00","NaT","ES INE House Price Index","Macro Release","ES","INE House Price Index","","Bloomberg",1,"15.06.2011 09:00:00","NaT"
"15.06.2011 03:15:00","NaT","CH Producer, Import Prices","Macro Release","CH","Producer, Import Prices","","Bloomberg",1,"15.06.2011 09:15:00","NaT"
"15.06.2011 05:05:00","NaT","DE Auction Result Note","Auction","DE Result","Note","ISIN DE0001137347","http://www.deutsche-finanzagentur.de/de/institutionelle-investoren/primaermarkt/auktionsergebnisse/",1,"15.06.2011 11:05:00","NaT"
"15.06.2011 08:30:00","NaT","US CPI and Earnings Data","Macro Release","US","CPI and Earnings Data","","Bloomberg",1,"15.06.2011 14:30:00","NaT"
"15.06.2011 08:30:00","NaT","US Empire Manufacturing","Macro Release","US","Empire Manufacturing","","Bloomberg",1,"15.06.2011 14:30:00","NaT"
"15.06.2011 09:00:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","ECB's Constancio Presents bi-annual Financial Stability Review","Bloomberg",0,"15.06.2011 15:00:00","NaT"
"15.06.2011 09:15:00","NaT","US Production and Capacity Utilization","Macro Release","US","Production and Capacity Utilization","","Bloomberg",1,"15.06.2011 15:15:00","NaT"
"15.06.2011 11:47:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","In comments to the press, Irish finance Minister Michael Noonan said Ireland will propose a plan to impose big losses on some senior bank bond holders.","Bahaj (2019)",0,"15.06.2011 17:47:00","NaT"
"15.06.2011 14:44:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Greek PM Papandreou announces the he will reshuffle his cabinet and hold a parliamentary confidence vote in the government.","Bahaj (2019)",0,"15.06.2011 20:44:00","NaT"
"15.06.2011 19:45:00","NaT","JP Foreign Investment","Macro Release","JP","Foreign Investment","","Bloomberg",1,"16.06.2011 01:45:00","NaT"
"16.06.2011 00:00:00","NaT","JP Tokyo Condominium Sales","Macro Release","JP","Tokyo Condominium Sales","","Bloomberg",1,"16.06.2011 06:00:00","NaT"
"16.06.2011 03:30:00","NaT","SNB: Press Release","Central Bank","SNB","Press Release","SNB maintains its expansionary monetary policy","https://www.snb.ch/en/mmr/reference/pre_20110616_1/source/pre_20110616_1.en.pdf",1,"16.06.2011 09:30:00","NaT"
"16.06.2011 04:00:00","NaT","IT CPI","Macro Release","IT","CPI","","Bloomberg",1,"16.06.2011 10:00:00","NaT"
"16.06.2011 04:00:00","NaT","ECB: Economic Bulletin","Central Bank","ECB","Economic Bulletin","Monthly Bulletin","",1,"16.06.2011 10:00:00","NaT"
"16.06.2011 04:00:00","16.06.2011 05:42:00","SNB: Press Conference","Central Bank","SNB","Press Conference","PC","",1,"16.06.2011 10:00:00","16.06.2011 11:42:00"
"16.06.2011 04:30:00","NaT","ES Auction Result Bond or Note","Auction","ES Result","Bond or Note","","Bloomberg",1,"16.06.2011 10:30:00","NaT"
"16.06.2011 05:00:00","NaT","EA Employment","Macro Release","EA","Employment","","Bloomberg",1,"16.06.2011 11:00:00","NaT"
"16.06.2011 05:00:00","NaT","FR Auction Result Bond or Note","Auction","FR Result","Bond or Note","","Bloomberg",1,"16.06.2011 11:00:00","NaT"
"16.06.2011 06:00:00","NaT","FR Auction Result Bond or Note","Auction","FR Result","Bond or Note","","Bloomberg",1,"16.06.2011 12:00:00","NaT"
"16.06.2011 08:30:00","NaT","US Building Permits & US Housing Starts","Macro Release","US","Building Permits & US Housing Starts","","Bloomberg",1,"16.06.2011 14:30:00","NaT"
"16.06.2011 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"16.06.2011 14:30:00","NaT"
"16.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127953Y5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110616_3.pdf",1,"16.06.2011 17:00:00","NaT"
"16.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127952F7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110616_2.pdf",1,"16.06.2011 17:00:00","NaT"
"16.06.2011 11:00:00","NaT","US Auction Announcement Bond","Auction","US Announcement","Bond","CUSIP 912810QP6","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110616_1.pdf",1,"16.06.2011 17:00:00","NaT"
"16.06.2011 11:00:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","ECB's Liikanen Speaks in London","Bloomberg",0,"16.06.2011 17:00:00","NaT"
"16.06.2011 19:50:00","NaT","BoJ: Minutes","Central Bank","BoJ","Minutes","Minutes on May 19/20 Meeting","",1,"17.06.2011 01:50:00","NaT"
"17.06.2011 02:00:00","NaT","EA Car Registrations","Macro Release","EA","Car Registrations","","Bloomberg",1,"17.06.2011 08:00:00","NaT"
"17.06.2011 02:00:00","NaT","FI PPI","Macro Release","FI","PPI","","Bloomberg",1,"17.06.2011 08:00:00","NaT"
"17.06.2011 03:00:00","17.06.2011 03:15:00","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Greek PM Papandreou announces his new cabinet, with Evangelos Venizelos becoming finance minister.","Bahaj (2019)",0,"17.06.2011 09:00:00","17.06.2011 09:15:00"
"17.06.2011 09:45:00","NaT","US University of Michigan Surveys","Macro Release","US","University of Michigan Surveys","","Bloomberg",1,"17.06.2011 15:45:00","NaT"
"17.06.2011 10:00:00","NaT","US Leading Index","Macro Release","US","Leading Index","","Bloomberg",1,"17.06.2011 16:00:00","NaT"
"17.06.2011 15:20:00","NaT","Ad Hoc: Sovereign Credit Ratings","Ad Hoc","Sovereign Credit Ratings","","Moody's puts Italy on review for downgrade","",0,"17.06.2011 21:20:00","NaT"
"17.06.2011 17:59:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Portugal's new PM announces his Cabinet with Vito Gaspar appointed as finance minister.","Bahaj (2019)",0,"17.06.2011 23:59:00","NaT"
"19.06.2011 05:00:00","NaT","ECB: Speech by President","Central Bank","ECB","Speech by President","Trichet: The euro area and its role in the global economy","ECB/Bloomberg",0,"19.06.2011 11:00:00","NaT"
"19.06.2011 19:00:00","NaT","UK Rightmove House Prices","Macro Release","UK","Rightmove House Prices","","Bloomberg",1,"20.06.2011 01:00:00","NaT"
"20.06.2011 01:00:00","NaT","JP Cabinet Office Indices","Macro Release","JP","Cabinet Office Indices","","Bloomberg",1,"20.06.2011 07:00:00","NaT"
"20.06.2011 02:00:00","NaT","DE PPI","Macro Release","DE","PPI","","Bloomberg",1,"20.06.2011 08:00:00","NaT"
"20.06.2011 05:05:00","NaT","DE Auction Result Bill","Auction","DE Result","Bill","ISIN DE0001115822","http://www.deutsche-finanzagentur.de/de/institutionelle-investoren/primaermarkt/auktionsergebnisse/",1,"20.06.2011 11:05:00","NaT"
"20.06.2011 06:00:00","NaT","PT PPI","Macro Release","PT","PPI","","Bloomberg",1,"20.06.2011 12:00:00","NaT"
"20.06.2011 09:00:00","NaT","FR Auction Result Bill","Auction","FR Result","Bill","","Bloomberg",1,"20.06.2011 15:00:00","NaT"
"20.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127953A7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110620_1.pdf",1,"20.06.2011 17:00:00","NaT"
"20.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127953Y5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110616_3.pdf",1,"20.06.2011 17:35:00","NaT"
"20.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127952F7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110616_2.pdf",1,"20.06.2011 17:35:00","NaT"
"20.06.2011 17:59:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","At the Eurogroup meeting, Eurozone finance ministers failed to commit to a critical Eur12bn aid payment to Greece, instead vowing to wait until Athens passed a new austerity package.","Bahaj (2019)",0,"20.06.2011 23:59:00","NaT"
"21.06.2011 03:30:00","NaT","GR Current Account Balance","Macro Release","GR","Current Account Balance","","Bloomberg",1,"21.06.2011 09:30:00","NaT"
"21.06.2011 04:30:00","NaT","UK Monetary Aggregates","Macro Release","UK","Monetary Aggregates","","Bloomberg",1,"21.06.2011 10:30:00","NaT"
"21.06.2011 04:30:00","NaT","ES Auction Result Bill","Auction","ES Result","Bill","","Bloomberg",1,"21.06.2011 10:30:00","NaT"
"21.06.2011 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"21.06.2011 11:15:00","NaT"
"21.06.2011 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"21.06.2011 15:00:00","NaT"
"21.06.2011 10:00:00","NaT","US Existing Home Sales","Macro Release","US","Existing Home Sales","","Bloomberg",1,"21.06.2011 16:00:00","NaT"
"21.06.2011 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 9127953A7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110620_1.pdf",1,"21.06.2011 17:35:00","NaT"
"21.06.2011 17:50:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Greek PM Papandreou's government survives a no confidence vote in parliament.","Bahaj (2019)",0,"21.06.2011 23:50:00","NaT"
"22.06.2011 02:45:00","NaT","FR Manufacturing and Business Confidence","Macro Release","FR","Manufacturing and Business Confidence","","Bloomberg",1,"22.06.2011 08:45:00","NaT"
"22.06.2011 04:30:00","NaT","BoE: Minutes","Central Bank","BoE","Minutes","Minutes","",1,"22.06.2011 10:30:00","NaT"
"22.06.2011 05:05:00","NaT","DE Auction Result Note","Auction","DE Result","Note","ISIN DE0001135440","http://www.deutsche-finanzagentur.de/de/institutionelle-investoren/primaermarkt/auktionsergebnisse/",1,"22.06.2011 11:05:00","NaT"
"22.06.2011 12:30:00","NaT","Fed: Press Release","Central Bank","Fed","Press Release","FOMC Statement: Rates unchanged; FG unchanged; UMP unchanged","",1,"22.06.2011 18:30:00","NaT"
"22.06.2011 14:15:00","22.06.2011 15:13:00","Fed: Press Conference","Central Bank","Fed","Press Conference","FOMC Press Conference","",1,"22.06.2011 20:15:00","22.06.2011 21:13:00"
"22.06.2011 14:15:00","NaT","Fed: Speech by Chair","Central Bank","Fed","Speech by Chair","Ben Bernanke: Opening Remarks, Martin Building, Federal Reserve Board, Washington, D.C., Transcript of Chairman Bernanke’s Press Conference","https://www.stlouisfed.org/en/fomcspeak",0,"22.06.2011 20:15:00","NaT"
"22.06.2011 17:59:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Overnight, the Greek cabinet endorses the latest austerity bill while a PASOK MP says he will vote against the bill, cutting the government's majority to four.","Bahaj (2019)",0,"22.06.2011 23:59:00","NaT"
"22.06.2011 19:45:00","NaT","JP Foreign Investment","Macro Release","JP","Foreign Investment","","Bloomberg",1,"23.06.2011 01:45:00","NaT"
"22.06.2011 22:30:00","NaT","CN HSBC Manufacturing PMI","Macro Release","CN","HSBC Manufacturing PMI","","Bloomberg",1,"23.06.2011 04:30:00","NaT"
"23.06.2011 02:00:00","NaT","CH Trade Balance","Macro Release","CH","Trade Balance","","Bloomberg",1,"23.06.2011 08:00:00","NaT"
"23.06.2011 03:30:00","NaT","NL GDP","Macro Release","NL","GDP","","Bloomberg",1,"23.06.2011 09:30:00","NaT"
"23.06.2011 03:30:00","NaT","NL Unemployment Rate","Macro Release","NL","Unemployment Rate","","Bloomberg",1,"23.06.2011 09:30:00","NaT"
"23.06.2011 04:00:00","NaT","IT Consumer Confidence","Macro Release","IT","Consumer Confidence","","Bloomberg",1,"23.06.2011 10:00:00","NaT"
"23.06.2011 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"23.06.2011 14:30:00","NaT"
"23.06.2011 08:33:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Greek opposition leader Antonis Samaras says he continues to oppose the austerity bill and that the programme needs ""corrective measures"".","Bahaj (2019)",0,"23.06.2011 14:33:00","NaT"
"23.06.2011 10:00:00","NaT","US New Home Sales","Macro Release","US","New Home Sales","","Bloomberg",1,"23.06.2011 16:00:00","NaT"
"23.06.2011 10:26:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","As part of his first press conference as FM, Evangelos Venizelos announced a further series of tax hikes to conform with the EU's austerity measures.","Bahaj (2019)",0,"23.06.2011 16:26:00","NaT"
"23.06.2011 11:00:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828RA0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110623_4.pdf",1,"23.06.2011 17:00:00","NaT"
"23.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127953Z2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110623_6.pdf",1,"23.06.2011 17:00:00","NaT"
"23.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127953L3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110623_5.pdf",1,"23.06.2011 17:00:00","NaT"
"23.06.2011 11:00:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828QR4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110623_2.pdf",1,"23.06.2011 17:00:00","NaT"
"23.06.2011 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 9127953W9","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110623_3.pdf",1,"23.06.2011 17:00:00","NaT"
"23.06.2011 11:00:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828QT0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110623_1.pdf",1,"23.06.2011 17:00:00","NaT"
"23.06.2011 13:05:00","NaT","US Auction Result Bond","Auction","US Result","Bond","CUSIP 912810QP6","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2011/A_20110616_1.pdf",1,"23.06.2011 19:05:00","NaT"
"23.06.2011 15:26:00","NaT","Ad Hoc: European Sovereign Debt Crisis","Ad Hoc","European Sovereign Debt Crisis","","Euro area and EU finance ministers agree to increase the effective capacity of the European Financial Stability Facility, to widen the scope of its mandate and to finalise the terms of the European Stability Mechanism.","Bahaj (2019)",0,"23.06.2011 21:26:00","NaT"
"23.06.2011 19:45:00","NaT","JP PPI Services","Macro Release","JP","PPI Services","","Bloomberg",1,"24.06.2011 01:45:00","NaT"
"24.06.2011 04:00:00","NaT","DE IFO Survey","Macro Release","DE","IFO Survey","","Bloomberg",1,"24.06.2011 10:00:00","NaT"
"24.06.2011 05:00:00","NaT","SNB: Quarterly Bulletin","Central Bank","SNB","Quarterly Bulletin","Quarterly Bulletin","",1,"24.06.2011 11:00:00","NaT"
"24.06.2011 06:00:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","ECB's Gonzalez-Paramo Speaks at Award Ceremony in Malaga, Spai","Bloomberg",0,"24.06.2011 12:00:00","NaT"
