,open,high,low,close,volume
2020-03-12 09:15:00,242.4488,242.9694,242.4209,242.4488,45914.0
2020-03-12 09:30:00,242.4953,243.0996,242.3838,242.8858,52978.0
2020-03-12 09:45:00,242.8486,245.1262,242.8393,243.9177,78643.0
2020-03-12 10:00:00,243.8433,243.9084,243.0252,243.1647,42980.0
2020-03-12 10:15:00,243.239,243.2576,242.3838,243.239,57943.0
2020-03-12 10:30:00,242.8672,243.8526,242.6719,243.5551,36566.0
2020-03-12 10:45:00,243.49,244.4568,243.4157,244.4568,83038.0
2020-03-12 11:00:00,244.3174,244.4568,243.1647,243.4714,203681.0
2020-03-12 11:15:00,243.3785,243.7875,242.7742,243.1368,288306.0
2020-03-12 11:30:00,243.1554,243.5644,242.9229,243.0159,267482.0
2020-03-12 11:45:00,242.9508,243.2855,242.4302,242.5418,338555.0
2020-03-12 12:00:00,246.3533,248.5937,241.2496,241.6771,615384.0
2020-03-12 12:15:00,241.6215,242.6348,240.1991,241.5192,912588.0
2020-03-12 12:30:00,241.5285,242.6348,241.2217,241.5843,953813.0
2020-03-12 12:45:00,241.5192,241.8632,237.6147,238.6745,1386067.0
2020-03-12 13:00:00,238.5444,238.721,236.7595,237.9773,1150919.0
2020-03-12 13:15:00,237.9401,238.219,236.4248,237.9773,1961175.0
2020-03-12 13:30:00,237.9866,239.381,237.1034,237.308,8612684.0
2020-03-12 13:45:00,236.5921,240.887,231.9904,240.4222,14457700.0
2020-03-12 14:00:00,240.4036,240.4408,235.4208,237.4195,14800382.0
2020-03-12 14:15:00,237.4288,239.3067,236.3132,238.1632,11722245.0
2020-03-12 14:30:00,238.1632,240.069,237.5497,238.5444,10979279.0
2020-03-12 14:45:00,238.5351,240.5803,238.377,239.6227,8469705.0
2020-03-12 15:00:00,239.6134,239.6599,236.0529,236.1459,7151408.0
2020-03-12 15:15:00,236.1273,237.2987,235.2442,236.3597,7237882.0
2020-03-12 15:30:00,236.3597,237.4567,234.7793,235.4859,7430428.0
2020-03-12 15:45:00,235.4952,235.6532,233.4593,235.021,7374750.0
2020-03-12 16:00:00,235.0025,235.0954,232.7434,233.5429,6080929.0
2020-03-12 16:15:00,233.5336,236.2668,233.0904,235.5602,7920033.0
2020-03-12 16:30:00,235.5509,235.5509,233.1432,233.4639,5237937.0
2020-03-12 16:45:00,233.4593,243.7689,233.2547,241.7051,16473255.0
2020-03-12 17:00:00,241.6958,247.8965,239.1021,241.1009,24402871.0
2020-03-12 17:15:00,241.1009,241.9189,239.1207,240.399,10922083.0
2020-03-12 17:30:00,240.385,241.4727,235.3836,236.5456,10132667.0
2020-03-12 17:45:00,236.5364,239.4461,235.8484,239.0278,7033452.0
2020-03-12 18:00:00,239.0092,239.8459,235.7926,236.3504,7882569.0
2020-03-12 18:15:00,236.3504,236.8059,234.6585,235.5695,6433793.0
2020-03-12 18:30:00,235.5881,235.9739,234.1472,234.9839,5526862.0
2020-03-12 18:45:00,234.9746,237.931,234.268,234.3331,6057672.0
2020-03-12 19:00:00,234.3424,237.1964,233.6173,235.114,9056686.0
2020-03-12 19:15:00,235.114,235.1605,233.1432,233.3382,8660777.0
2020-03-12 19:30:00,233.3431,235.7462,233.0037,234.11,10462161.0
2020-03-12 19:45:00,234.1472,237.0384,230.252,230.6425,28916287.0
2020-03-12 20:00:00,230.6425,232.4367,229.0156,230.7447,10014661.0
2020-03-12 20:15:00,230.6518,231.2467,229.8895,230.0382,744463.0
2020-03-12 20:30:00,230.0103,245.8885,228.086,228.7181,1349828.0
2020-03-12 20:45:00,228.7925,230.6518,228.4857,228.7274,1366169.0
2020-03-12 21:00:00,228.6902,230.6518,227.993,228.1975,11226764.0
2020-03-12 21:15:00,228.4578,228.4578,226.7194,226.9239,358954.0
2020-03-12 21:30:00,226.7659,227.0727,225.0647,225.1948,303341.0
2020-03-12 21:45:00,225.2506,230.6518,224.9717,226.143,454070.0
2020-03-12 22:00:00,226.3661,230.6053,226.3661,228.3463,610077.0
2020-03-12 22:15:00,228.3649,229.5455,225.8177,228.244,221652.0
2020-03-12 22:30:00,230.6518,231.3955,228.0581,229.2108,2595248.0
2020-03-12 22:45:00,229.1365,231.7208,229.1365,229.7128,281755.0
2020-03-12 23:00:00,230.1405,230.7447,228.1696,228.8762,150021.0
2020-03-12 23:15:00,228.9691,229.4153,228.2068,229.0621,123182.0
2020-03-12 23:30:00,229.0621,229.0807,227.8536,227.8536,133232.0
2020-03-12 23:45:00,227.8443,227.8629,226.7752,227.6212,243269.0
2020-03-13 08:00:00,239.8366,241.8353,238.1632,238.7861,120358.0
2020-03-13 08:15:00,238.6745,239.8459,237.3823,238.5908,58364.0
2020-03-13 08:30:00,238.5351,238.5351,235.5231,236.3504,76941.0
2020-03-13 08:45:00,236.5549,237.466,235.7183,236.4992,23076.0
2020-03-13 09:00:00,236.871,237.7728,235.458,237.3916,74038.0
2020-03-13 09:15:00,237.6147,239.0836,237.1499,238.2376,94468.0
2020-03-13 09:30:00,238.4235,238.5072,237.7914,238.4793,48154.0
2020-03-13 09:45:00,238.4979,240.3664,238.4235,240.227,87206.0
2020-03-13 10:00:00,240.227,240.4966,238.7489,239.9481,84298.0
2020-03-13 10:15:00,240.0039,240.822,238.9255,239.5112,83153.0
2020-03-13 10:30:00,239.4368,239.7343,238.721,239.5019,104560.0
2020-03-13 10:45:00,239.5484,240.5338,239.2416,240.5152,99959.0
2020-03-13 11:00:00,240.4408,242.4767,240.2363,242.077,318639.0
2020-03-13 11:15:00,242.1699,242.5418,241.8911,242.3001,285003.0
2020-03-13 11:30:00,242.1792,242.4024,240.0783,242.2164,668370.0
2020-03-13 11:45:00,242.2164,242.3559,241.7051,242.1978,561382.0
2020-03-13 12:00:00,242.0863,242.6348,227.7606,242.486,1556097.0
2020-03-13 12:15:00,242.4953,243.3785,230.6518,243.3785,1457496.0
2020-03-13 12:30:00,243.4157,244.3081,243.2855,243.7596,738793.0
2020-03-13 12:45:00,243.7782,244.3081,243.5644,244.0664,456760.0
2020-03-13 13:00:00,244.0943,244.1222,241.7888,244.0241,657216.0
2020-03-13 13:15:00,243.6667,244.8473,230.6518,244.5033,1727954.0
2020-03-13 13:30:00,244.5777,245.5259,238.8047,240.4501,17675605.0
2020-03-13 13:45:00,240.4548,241.7795,237.3451,238.5072,11621883.0
2020-03-13 14:00:00,238.5072,240.2177,237.6612,239.2695,9080751.0
2020-03-13 14:15:00,239.2788,243.1368,238.7582,241.0823,10139572.0
2020-03-13 14:30:00,241.0358,241.5006,238.4979,238.9255,6561130.0
2020-03-13 14:45:00,238.879,239.4554,236.3225,236.5271,7858401.0
2020-03-13 15:00:00,236.5364,239.0092,236.5085,238.6559,6903590.0
2020-03-13 15:15:00,238.6652,238.8326,234.5981,234.6678,7955385.0
2020-03-13 15:30:00,234.6656,235.4022,232.697,232.8364,8937793.0
2020-03-13 15:45:00,232.8736,236.1273,232.0183,235.1791,8878173.0
2020-03-13 16:00:00,235.1698,235.7276,233.1804,235.0582,5351942.0
2020-03-13 16:15:00,235.0303,235.8112,234.017,234.4164,4392803.0
2020-03-13 16:30:00,234.3889,238.628,234.268,238.5537,6289830.0
2020-03-13 16:45:00,238.5537,239.6227,237.1406,237.3823,5776813.0
2020-03-13 17:00:00,237.3544,238.2934,236.1831,238.2283,4140004.0
2020-03-13 17:15:00,238.2562,240.6825,237.6984,240.4501,4992487.0
2020-03-13 17:30:00,240.4501,241.2403,238.6838,240.3479,5053794.0
2020-03-13 17:45:00,240.3386,241.8167,240.3386,241.0823,4154070.0
2020-03-13 18:00:00,241.0451,241.1195,237.4474,238.8233,7174653.0
2020-03-13 18:15:00,238.8047,239.6227,237.4939,237.6705,5039934.0
2020-03-13 18:30:00,237.6519,239.1579,235.8484,238.8604,6727745.0
2020-03-13 18:45:00,238.8697,239.0928,237.5775,238.9348,5070278.0
2020-03-13 19:00:00,238.8976,240.7383,238.0517,239.7111,8581382.0
2020-03-13 19:15:00,239.7064,241.324,239.223,240.7476,7109210.0
2020-03-13 19:30:00,240.7476,242.8672,235.4208,242.4581,14330429.0
2020-03-13 19:45:00,242.4767,252.0055,242.4674,251.866,32982145.0
2020-03-13 20:00:00,251.8753,252.342,238.2621,251.2246,10013219.0
2020-03-13 20:15:00,251.3176,252.3718,249.6907,250.202,2128888.0
2020-03-13 20:30:00,250.202,252.3542,247.0319,249.3281,1619688.0
2020-03-13 20:45:00,249.3467,252.3864,248.008,248.2126,954124.0
2020-03-13 21:00:00,248.2498,249.7,248.1568,249.6256,619096.0
2020-03-13 21:15:00,249.5791,249.9324,249.3281,249.9045,208429.0
2020-03-13 21:30:00,249.8952,250.3507,249.4676,249.9789,541622.0
2020-03-13 21:45:00,250.0625,250.3693,249.8766,250.0532,309276.0
2020-03-13 22:00:00,250.109,252.3773,250.109,252.303,590401.0
2020-03-13 22:15:00,252.1635,252.9537,251.3826,252.2565,625665.0
2020-03-13 22:30:00,250.3693,252.5726,250.3693,252.0334,177928.0
2020-03-13 22:45:00,252.0241,252.0241,250.9085,250.9178,1559312.0
2020-03-13 23:00:00,250.9178,251.2804,250.5367,250.7226,61008.0
2020-03-13 23:15:00,250.7226,250.862,250.4344,250.6389,63778.0
2020-03-13 23:30:00,250.546,250.6761,249.1701,249.3281,114861.0
2020-03-13 23:45:00,249.328,249.3839,248.3148,248.6309,109796.0
2020-03-16 08:00:00,235.3836,244.2616,231.6372,234.863,171826.0
2020-03-16 08:15:00,234.7979,236.118,231.0236,231.4791,141671.0
2020-03-16 08:30:00,231.349,231.442,227.0262,227.9558,121344.0
2020-03-16 08:45:00,228.086,229.2201,226.831,228.904,120450.0
2020-03-16 09:00:00,228.8762,228.8762,227.2028,227.9465,156407.0
2020-03-16 09:15:00,227.8443,228.6623,227.1099,227.2679,110255.0
2020-03-16 09:30:00,227.2493,228.086,227.0355,227.3887,94039.0
2020-03-16 09:45:00,227.6397,228.9598,227.6397,228.0116,66463.0
2020-03-16 10:00:00,227.9465,228.244,227.0169,227.2958,72908.0
2020-03-16 10:15:00,227.2958,227.2958,225.9013,226.3011,119184.0
2020-03-16 10:30:00,226.3011,226.7659,226.0129,226.4126,144157.0
2020-03-16 10:45:00,226.3568,226.6264,225.7154,226.2267,91401.0
2020-03-16 11:00:00,226.2267,227.2679,225.9943,226.4591,621498.0
2020-03-16 11:15:00,226.4591,226.6915,226.2732,226.3754,309394.0
2020-03-16 11:30:00,226.4219,226.8774,224.9159,225.2041,605926.0
2020-03-16 11:45:00,225.2041,226.0222,225.1948,225.9943,663285.0
2020-03-16 12:00:00,225.9943,241.7198,223.9305,226.0037,1713374.0
2020-03-16 12:15:00,226.0036,226.4591,225.4365,225.9664,601518.0
2020-03-16 12:30:00,225.9199,225.9664,223.9677,224.0514,693105.0
2020-03-16 12:45:00,224.0607,224.0607,222.5082,222.88,964696.0
2020-03-16 13:00:00,222.973,225.4365,222.6476,224.823,1379293.0
2020-03-16 13:15:00,224.8137,225.1576,222.0898,223.9863,1350301.0
2020-03-16 13:30:00,224.2094,224.2187,223.8189,223.9398,950317.0
2020-03-16 13:45:00,223.3913,230.3543,220.6582,228.2905,14911419.0
2020-03-16 14:00:00,228.3091,229.4897,225.4551,228.1882,8889562.0
2020-03-16 14:15:00,228.1882,230.0289,226.5893,228.588,8508413.0
2020-03-16 14:30:00,228.588,234.2495,228.5137,233.7382,10954879.0
2020-03-16 14:45:00,233.7382,235.1605,232.1206,233.1246,7507356.0
2020-03-16 15:00:00,233.1246,236.7316,232.604,235.9553,6923830.0
2020-03-16 15:15:00,235.9879,239.2815,235.9135,238.0145,7279676.0
2020-03-16 15:30:00,237.9773,238.4514,233.952,234.5097,6712831.0
2020-03-16 15:45:00,234.5097,236.2761,233.8311,236.2482,4667840.0
2020-03-16 16:00:00,236.2389,236.8431,234.612,234.7329,3979861.0
2020-03-16 16:15:00,234.7607,234.9653,232.4088,233.6917,4244792.0
2020-03-16 16:30:00,233.701,235.207,233.0642,233.7103,3860347.0
2020-03-16 16:45:00,233.7103,233.952,230.4008,231.4512,5891201.0
2020-03-16 17:00:00,231.4512,233.9334,230.8377,233.1711,4912733.0
2020-03-16 17:15:00,233.199,233.2361,231.1538,231.507,3544423.0
2020-03-16 17:30:00,231.5163,231.5163,228.839,229.7221,5254937.0
2020-03-16 17:45:00,229.7221,230.9121,228.904,229.8104,4207057.0
2020-03-16 18:00:00,229.8058,229.8709,228.0767,229.2294,4924633.0
2020-03-16 18:15:00,229.2294,229.4525,227.4445,229.248,5671946.0
2020-03-16 18:30:00,229.2527,233.3756,228.8483,230.1776,10807194.0
2020-03-16 18:45:00,230.1869,232.4088,223.8375,231.5767,5945199.0
2020-03-16 19:00:00,231.5814,233.199,229.9174,229.9731,6403942.0
2020-03-16 19:15:00,229.9731,231.6558,228.3649,228.7135,8589186.0
2020-03-16 19:30:00,228.6995,228.9412,224.8183,228.8483,15674928.0
2020-03-16 19:45:00,228.8343,228.9691,221.9969,222.5639,37137059.0
2020-03-16 20:00:00,222.5639,227.5747,222.378,225.3064,9247960.0
2020-03-16 20:15:00,225.0182,225.4365,222.973,223.7911,1028237.0
2020-03-16 20:30:00,223.8282,231.237,222.973,223.8561,2274476.0
2020-03-16 20:45:00,223.9398,226.3847,222.973,224.6091,843490.0
2020-03-16 21:00:00,224.7765,224.9717,224.5441,224.6928,421201.0
2020-03-16 21:15:00,224.6649,224.7393,223.1124,224.0142,409414.0
2020-03-16 21:30:00,224.0049,224.7672,223.6144,223.7632,100110.0
2020-03-16 21:45:00,223.6702,224.5534,223.5865,224.5534,74281.0
2020-03-16 22:00:00,224.5534,228.3463,223.9305,224.3209,517153.0
2020-03-16 22:15:00,224.1629,226.3661,224.0885,225.7526,252911.0
2020-03-16 22:30:00,222.973,226.8217,222.973,226.3104,506056.0
2020-03-16 22:45:00,226.2825,227.6397,225.3064,226.0873,180120.0
2020-03-16 23:00:00,226.0873,227.6026,226.0873,227.5933,190150.0
2020-03-16 23:15:00,227.6026,228.0116,227.1191,227.7234,95118.0
2020-03-16 23:30:00,227.584,228.402,226.6729,228.3463,77160.0
2020-03-16 23:45:00,228.402,228.5043,227.3423,227.6676,67650.0
2020-03-17 08:00:00,229.592,238.4049,229.592,236.0251,170974.0
2020-03-17 08:15:00,236.0251,236.1273,230.8935,232.6877,193178.0
2020-03-17 08:30:00,232.5575,233.0967,228.6902,229.8709,272136.0
2020-03-17 08:45:00,230.001,230.1219,227.4724,227.7792,230363.0
2020-03-17 09:00:00,227.8536,229.3689,226.8867,227.6304,118917.0
2020-03-17 09:15:00,227.2865,227.6676,224.9903,225.4365,97206.0
2020-03-17 09:30:00,225.2413,225.2413,222.3129,223.6981,144573.0
2020-03-17 09:45:00,223.7074,226.487,223.633,224.6556,94497.0
2020-03-17 10:00:00,224.8415,227.9093,224.0421,227.6583,91345.0
2020-03-17 10:15:00,227.7606,229.592,227.2214,229.2573,109903.0
2020-03-17 10:30:00,229.248,229.3503,227.0169,227.2121,156704.0
2020-03-17 10:45:00,227.1842,232.4274,227.1842,232.4088,243067.0
2020-03-17 11:00:00,232.4274,232.4274,228.7925,230.3729,275982.0
2020-03-17 11:15:00,230.3822,230.5123,227.4724,227.8257,234909.0
2020-03-17 11:30:00,227.7699,227.7792,225.7991,226.4684,202888.0
2020-03-17 11:45:00,226.4684,228.0023,225.325,225.5481,232810.0
2020-03-17 12:00:00,225.6038,234.5097,224.7021,227.4352,600081.0
2020-03-17 12:15:00,227.4352,228.3835,226.831,227.5747,518588.0
2020-03-17 12:30:00,227.6583,228.2068,226.3661,227.1099,309482.0
2020-03-17 12:45:00,227.0541,228.5136,226.2267,228.2719,389779.0
2020-03-17 13:00:00,228.3556,228.7553,227.4166,227.7606,673350.0
2020-03-17 13:15:00,227.8071,228.5787,226.0036,227.8164,650682.0
2020-03-17 13:30:00,227.7978,230.0382,222.5825,222.7301,11791179.0
2020-03-17 13:45:00,222.7313,226.143,220.9464,221.4019,10220664.0
2020-03-17 14:00:00,221.4019,225.6317,220.3886,224.5627,9177328.0
2020-03-17 14:15:00,224.5998,227.2493,223.5772,226.5986,6030207.0
2020-03-17 14:30:00,226.6079,227.584,224.6184,227.2772,5202946.0
2020-03-17 14:45:00,227.2865,228.5322,225.9292,227.9651,7485925.0
2020-03-17 15:00:00,227.9279,231.9161,227.2121,231.8789,5882451.0
2020-03-17 15:15:00,231.876,232.9387,230.5309,230.9968,7496738.0
